995;787;594;495;201;730;581;1582;294;895;1255;556;887;1065;1389;718;1207;190;262;1861;996;1666;1807;1806;1920;1118;1275;428;1477;682;386;191;1399;1782;987;1179;561;418;1209;624
389;941;122;943;762;337;891;263;420;1009;435;1456;1872;56;1578;1670;801;1058;1711;359;1969;351;1945;1815;1623;1815;768;200;407;151;201;1075;758;665;455;1434;824;1544;1085;232
860;646;651;1420;140;773;868;1474;362;1457;1268;1425;1555;1238;352;1395;481;448;1248;1623;1549;493;1869;1998;214;1629;1565;91;887;1251;283;1688;1339;665;223;1816;1611;379;1991;280
1416;1878;1259;1689;47;1904;1919;1993;785;1243;1741;1509;1802;4;525;454;1569;1397;765;978;763;18;799;1693;671;628;464;707;98;1437;1260;1151;775;1883;997;1214;1259;912;960;672
1347;1764;1558;1920;977;1249;483;1506;1635;1530;1369;156;264;408;943;1311;1667;97;686;155;1414;509;985;1150;1251;1035;1794;61;1003;826;1786;493;980;1572;12;920;887;789;55;217
1225;1592;688;1688;1203;985;1029;1602;1140;635;201;223;1371;158;1481;1339;1658;897;963;293;1091;206;711;520;497;230;416;571;1344;1186;1553;1649;1152;1145;34;1636;1393;310;1370;1631
1902;1804;322;973;1782;945;1059;780;808;1031;1816;1974;1336;1617;46;1816;709;1301;83;936;161;1005;1289;864;227;1750;721;64;646;946;278;458;767;1167;362;467;459;1435;32;536
1512;999;1665;1164;1550;1619;105;1441;429;347;324;76;1151;806;1577;926;1264;972;61;1033;774;1456;65;1148;546;287;1632;769;1214;188;713;1669;585;364;1823;1927;1545;777;1199;460
470;931;452;55;125;1152;729;897;1075;371;1366;605;1590;402;1044;762;52;725;1446;1940;1860;1768;1414;1242;837;689;1603;326;1135;1652;1641;1935;1645;615;1780;934;897;607;1057;1839
472;1512;1949;845;907;346;1527;362;98;45;1116;44;210;738;447;318;1082;1535;317;422;132;806;1743;927;765;961;1620;777;1278;1732;874;814;268;1955;1122;1813;537;1852;1828;1012
1496;1808;1955;1142;77;1659;126;1959;132;466;1278;278;348;803;1819;500;643;1532;1285;1646;1082;1090;492;886;1276;1264;198;1573;292;1481;257;1774;1058;1578;1274;1297;1271;1094;762;1227
800;1044;1798;1957;1596;205;181;1716;93;1891;87;1603;121;1243;224;1116;307;1002;490;187;1985;1795;1129;1710;1598;917;387;572;1607;1606;667;1186;1899;832;1189;1522;1687;1573;1141;1638
1925;1600;1338;711;207;754;382;568;175;730;1309;1718;1429;1359;755;1883;1927;1387;606;1028;897;1757;156;896;239;1391;764;1034;436;1472;1011;1328;954;222;352;1032;1153;185;1279;303
1692;12;1969;227;435;733;1448;1355;858;551;1243;730;952;110;1539;1422;635;285;1836;556;1654;463;104;1848;1991;1319;441;629;771;100;1227;1385;1671;409;1781;1778;818;482;1520;1189
1204;1971;1611;1739;1587;1226;1130;1825;1899;1076;1717;151;1153;1109;734;261;1848;453;917;1565;875;1060;539;875;923;1484;59;433;388;1166;1284;447;1776;1210;1023;117;612;1670;1241;1168
843;1327;1720;1882;747;1972;1211;1630;1339;1187;1093;1902;1275;1627;1527;1836;261;800;114;255;958;1348;1053;192;1388;1830;790;1927;1841;3;185;513;280;599;1157;1810;248;1615;1849;1017
1276;1084;280;1701;1786;366;504;1331;499;1919;1260;1305;342;1592;1138;1487;853;1395;227;1232;1086;787;273;923;1021;456;1340;1999;1468;600;960;1485;471;1706;1793;1027;218;1837;1782;422
448;405;809;1647;351;459;1853;1393;981;1465;644;94;160;585;1819;1461;1881;460;1582;510;219;1490;857;95;1736;616;943;1941;386;603;1674;172;921;1818;73;1343;798;512;1510;974
587;1605;1354;576;874;1960;1135;1189;1670;173;1196;1406;315;847;1851;1912;1886;1376;1042;506;101;1228;492;1643;730;1722;365;456;1496;314;421;1291;483;1376;1670;740;1043;1475;534;1169
1202;1159;1494;750;1567;1234;257;1996;1730;1548;1404;785;1176;272;549;1898;689;1679;997;1047;256;427;899;1408;1480;340;905;649;477;1691;327;464;1290;978;1789;605;1789;1213;386;1411
84;696;1340;839;1423;300;157;1999;1608;1252;1282;1181;893;1413;1256;387;392;61;371;364;991;1171;828;136;745;1195;1392;1032;793;1347;550;1219;1758;381;163;732;656;1873;1629;1009
302;3;533;918;1217;1836;1806;1289;31;101;1381;1950;395;478;349;1249;380;1371;1618;95;390;199;1062;482;1565;166;1187;525;685;1554;1278;1990;1582;1495;61;321;1041;256;859;1179
1210;22;1246;1467;503;173;1203;864;1008;1069;1777;1855;395;330;235;264;318;1614;1722;282;1324;1906;1415;4;261;1290;1180;1454;179;1238;730;1118;740;1387;1280;979;1127;821;1702;44
1441;1852;1183;375;619;303;382;1626;829;287;1082;65;386;1490;353;115;1151;951;1201;378;442;1344;1730;169;1436;1759;794;548;79;983;158;1851;492;1282;1148;1719;874;681;1814;1631
1911;1748;580;1936;1683;870;405;1384;1066;40;1438;1156;1643;1135;172;1394;108;699;1102;237;1173;1221;884;1348;973;921;985;1947;974;27;844;1341;377;1558;1527;1958;1027;607;1883;875
816;120;1202;1850;1594;1175;368;1856;1570;1771;1517;108;220;99;193;1598;1697;332;5;1123;730;902;1784;1820;1038;1281;1236;194;230;1266;1101;1649;1216;753;1807;524;109;26;631;617
634;536;1349;224;1034;178;396;1662;1476;1078;1523;1310;1956;1869;948;130;708;480;1020;705;1107;1407;369;770;1077;1501;565;1239;999;251;1274;740;112;558;1913;646;1426;21;1808;604
1122;720;849;569;463;1492;647;1332;198;716;191;1555;1468;1593;1;1299;1212;1928;788;58;77;412;608;1288;817;1398;520;1439;1209;191;739;1486;1449;822;1297;964;65;331;1195;490
322;1552;62;805;1126;387;310;299;434;1596;1789;1044;1155;1071;947;1322;1563;620;483;663;196;1251;1503;1371;1268;946;179;556;573;951;903;666;1891;550;1945;519;1894;352;1607;834
1554;67;880;258;46;791;603;1905;1160;1786;1114;382;199;1762;412;1320;1393;654;807;1408;1801;1912;85;923;1719;1274;1153;759;1585;50;205;1964;1386;904;1374;1764;563;135;1888;101
421;458;1726;658;1030;287;1778;397;635;1510;495;1584;1560;1779;1052;322;618;1285;998;1587;10;43;418;753;742;1668;584;1624;518;1665;1115;970;160;200;1632;1554;503;1388;1914;1664
1807;1075;554;1144;1664;1113;117;1928;1399;147;793;1067;983;894;556;263;434;1924;1821;1901;1724;1943;596;1577;1188;572;144;1132;429;1629;1133;183;1722;912;298;152;1924;476;1593;801
877;1421;1850;1259;316;1165;934;1557;1275;1233;399;656;1992;1532;645;983;318;1138;574;1455;621;1572;1747;1017;1193;583;1038;671;154;432;1792;5;1863;670;1481;227;1821;1419;1862;1697
77;1157;1629;1954;1136;995;1573;250;363;1461;235;585;892;1778;68;1229;1030;1651;87;762;165;1543;1026;602;1170;1456;1000;34;1311;219;1654;1746;1654;1260;825;1855;968;894;1692;442
135;1102;440;584;1054;812;410;1880;49;1679;757;489;1771;370;1609;1654;1610;1343;1719;742;598;127;623;766;817;1103;1298;422;1300;1792;1316;621;446;1625;501;1515;920;1234;1084;34
1059;229;362;1913;783;1478;1852;225;1996;1893;950;413;1496;1705;1080;1819;378;250;362;1719;1946;250;757;1849;110;592;1730;1442;302;1608;403;753;875;863;213;1098;1014;1428;69;1376
1140;667;5;1110;1815;1515;1339;1969;1152;263;1329;1807;716;832;327;1189;1938;1564;1440;425;1012;497;679;1100;309;1144;1623;105;278;783;571;170;1855;1229;198;895;1370;122;1712;278
1949;703;1511;749;1425;100;340;1703;743;106;943;528;864;462;226;136;173;635;1905;997;385;105;1672;1670;953;1141;840;1831;1971;86;510;1807;1582;1134;221;608;1885;617;1106;454
1338;1779;1553;1813;1669;66;1355;925;1279;897;371;1838;1149;1957;1682;938;1247;1966;1245;1981;1433;1971;48;1621;865;1119;771;1445;1907;945;940;505;534;146;580;342;1240;1871;379;528
441;1495;334;688;383;901;917;1036;1550;1266;724;1406;1567;338;636;780;609;219;474;1324;1305;1646;152;917;1146;770;1339;179;1390;441;1610;9;470;1989;1106;1612;1898;1500;1686;1028
673;603;590;170;186;1751;589;348;1626;1998;642;308;1890;1283;1057;753;1984;1212;1142;1385;1931;338;1362;430;180;1942;1999;670;1508;316;304;1975;1430;1541;157;334;1102;772;218;1388
731;17;589;457;1477;419;1966;1076;1862;1036;1300;24;676;124;1946;854;382;918;326;1926;1024;1912;1083;940;632;1641;735;1962;128;1963;1835;961;734;1840;1625;1836;1876;1615;1193;949
1592;1803;1127;157;1436;361;1675;342;1889;478;1400;1443;259;850;335;986;1092;466;1638;1116;1077;1888;1754;130;449;1028;1065;506;901;1436;1048;1433;1986;1077;1934;1847;26;1613;862;1958
1514;185;533;1282;1026;1693;372;1175;1624;1579;179;1859;1760;1107;287;1958;687;1144;219;530;363;442;1845;1592;1857;419;1035;1157;256;441;1818;764;69;1601;1038;1507;1138;1003;1507;569
1038;542;1669;252;1990;185;1746;1508;262;1751;402;1971;77;1197;1897;488;18;1393;1742;149;1940;1408;857;1822;367;290;226;179;406;1343;53;231;149;918;1421;358;1581;1683;443;1841
1986;412;925;890;1853;263;1516;1183;1282;1561;1368;886;890;1078;292;195;1220;1812;1411;1362;643;1276;323;1224;1768;268;748;241;344;163;692;20;671;688;1100;1352;1504;202;1014;739
459;485;1224;1430;919;11;433;946;1441;1732;1906;1117;1663;1363;628;610;707;157;962;1961;92;190;805;1108;1131;142;242;1417;844;1578;704;220;364;1728;624;1843;1839;771;1595;1137
1842;1612;1022;1508;1276;167;1281;1452;1780;145;1376;1583;637;324;1094;167;176;337;1660;1148;1684;952;898;688;1808;852;880;189;1462;1920;89;1830;1235;1013;72;596;1296;252;594;811
1799;1796;1302;1168;1792;1128;1871;259;621;835;670;609;1837;887;1909;1205;1604;1421;1305;529;1602;20;229;88;434;1499;368;445;1535;178;881;1752;1576;672;53;779;1369;1166;1450;448
1277;1199;582;1861;1116;1946;50;834;565;995;1210;926;70;1635;325;973;251;632;1224;1116;1806;509;454;1335;1924;336;941;478;1181;999;143;1796;957;991;709;967;1333;690;1632;637
